Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Transcript type
ENSRNOG00000003084,ENSRNOG00000003084.5,ENSRNOT00000004232,ENSRNOT00000004232.5,protein_coding
ENSRNOG00000002609,ENSRNOG00000002609.7,ENSRNOT00000085669,ENSRNOT00000085669.1,protein_coding
ENSRNOG00000002609,ENSRNOG00000002609.7,ENSRNOT00000003526,ENSRNOT00000003526.6,protein_coding
ENSRNOG00000004398,ENSRNOG00000004398.8,ENSRNOT00000057146,ENSRNOT00000057146.5,protein_coding
ENSRNOG00000004398,ENSRNOG00000004398.8,ENSRNOT00000005958,ENSRNOT00000005958.7,protein_coding
ENSRNOG00000025644,ENSRNOG00000025644.3,ENSRNOT00000017133,ENSRNOT00000017133.4,protein_coding
ENSRNOG00000038909,ENSRNOG00000038909.4,ENSRNOT00000050922,ENSRNOT00000050922.5,protein_coding
ENSRNOG00000038909,ENSRNOG00000038909.4,ENSRNOT00000077111,ENSRNOT00000077111.1,protein_coding
ENSRNOG00000011316,ENSRNOG00000011316.5,ENSRNOT00000015055,ENSRNOT00000015055.4,protein_coding
ENSRNOG00000012927,ENSRNOG00000012927.6,ENSRNOT00000017469,ENSRNOT00000017469.6,protein_coding
ENSRNOG00000006968,ENSRNOG00000006968.5,ENSRNOT00000009308,ENSRNOT00000009308.5,protein_coding
ENSRNOG00000019278,ENSRNOG00000019278.7,ENSRNOT00000026089,ENSRNOT00000026089.7,protein_coding
ENSRNOG00000019278,ENSRNOG00000019278.7,ENSRNOT00000078916,ENSRNOT00000078916.1,protein_coding
ENSRNOG00000018664,ENSRNOG00000018664.6,ENSRNOT00000025299,ENSRNOT00000025299.6,protein_coding
ENSRNOG00000046064,ENSRNOG00000046064.1,ENSRNOT00000071048,ENSRNOT00000071048.1,processed_pseudogene
ENSRNOG00000007002,ENSRNOG00000007002.4,ENSRNOT00000009313,ENSRNOT00000009313.4,protein_coding
ENSRNOG00000008658,ENSRNOG00000008658.6,ENSRNOT00000051121,ENSRNOT00000051121.4,protein_coding
ENSRNOG00000008658,ENSRNOG00000008658.6,ENSRNOT00000083127,ENSRNOT00000083127.1,protein_coding
ENSRNOG00000025882,ENSRNOG00000025882.6,ENSRNOT00000090303,ENSRNOT00000090303.1,protein_coding
ENSRNOG00000025882,ENSRNOG00000025882.6,ENSRNOT00000034642,ENSRNOT00000034642.4,protein_coding
ENSRNOG00000009613,ENSRNOG00000009613.7,ENSRNOT00000012904,ENSRNOT00000012904.7,protein_coding
ENSRNOG00000009613,ENSRNOG00000009613.7,ENSRNOT00000084852,ENSRNOT00000084852.1,protein_coding
ENSRNOG00000050054,ENSRNOG00000050054.1,ENSRNOT00000042931,ENSRNOT00000042931.1,protein_coding
ENSRNOG00000045732,ENSRNOG00000045732.1,ENSRNOT00000039037,ENSRNOT00000039037.2,protein_coding
ENSRNOG00000003143,ENSRNOG00000003143.7,ENSRNOT00000004193,ENSRNOT00000004193.7,protein_coding
ENSRNOG00000026883,ENSRNOG00000026883.5,ENSRNOT00000034051,ENSRNOT00000034051.4,protein_coding
ENSRNOG00000019902,ENSRNOG00000019902.5,ENSRNOT00000079675,ENSRNOT00000079675.1,protein_coding
